time_namelookup,time_connect,time_appconnect,time_starttransfer,time_total,size_download,protocolo,cenario
0.036539,0.042689,0.0,0.0,0.077914,0,HTTP/1.1,Navegação
0.001308,0.02872,0.0,0.0,0.030787,0,HTTP/3,Navegação
0.001338,0.002541,0.0,0.0,0.006498,0,HTTP/1.1,Streaming
0.001574,0.007551,0.0,0.0,0.009382,0,HTTP/3,Streaming
0.001761,0.002221,0.0,0.0,0.041907,0,HTTP/1.1,Navegação
0.001393,0.00787,0.0,0.0,0.00966,0,HTTP/3,Navegação
0.002207,0.00263,0.0,0.0,0.008374,0,HTTP/1.1,Streaming
0.001279,0.007294,0.0,0.0,0.00892,0,HTTP/3,Streaming
0.001249,0.001491,0.0,0.0,0.005731,0,HTTP/1.1,Navegação
0.001947,0.007446,0.0,0.0,0.008919,0,HTTP/3,Navegação
0.001334,0.001673,0.0,0.0,0.006521,0,HTTP/1.1,Streaming
0.001416,0.04065,0.0,0.0,0.042131,0,HTTP/3,Streaming
0.001405,0.001642,0.0,0.0,0.0065,0,HTTP/1.1,Navegação
0.001315,0.006218,0.0,0.0,0.00754,0,HTTP/3,Navegação
0.001429,0.001625,0.0,0.0,0.004636,0,HTTP/1.1,Streaming
0.001361,0.041744,0.0,0.0,0.043509,0,HTTP/3,Streaming
0.001344,0.00155,0.0,0.0,0.004595,0,HTTP/1.1,Navegação
0.00136,0.005646,0.0,0.0,0.007222,0,HTTP/3,Navegação
0.001376,0.001671,0.0,0.0,0.006525,0,HTTP/1.1,Streaming
0.001753,0.006956,0.0,0.0,0.008695,0,HTTP/3,Streaming
0.001474,0.001753,0.0,0.0,0.005868,0,HTTP/1.1,Navegação
0.001369,0.00721,0.0,0.0,0.008691,0,HTTP/3,Navegação
0.001494,0.001689,0.0,0.0,0.005279,0,HTTP/1.1,Streaming
0.00157,0.009185,0.0,0.0,0.011764,0,HTTP/3,Streaming
0.00119,0.00143,0.0,0.0,0.005689,0,HTTP/1.1,Navegação
0.00135,0.006748,0.0,0.0,0.008015,0,HTTP/3,Navegação
0.001651,0.001869,0.0,0.0,0.005351,0,HTTP/1.1,Streaming
0.001402,0.007737,0.0,0.0,0.009457,0,HTTP/3,Streaming
0.001412,0.001652,0.0,0.0,0.005564,0,HTTP/1.1,Navegação
0.001404,0.00747,0.0,0.0,0.008876,0,HTTP/3,Navegação
0.001464,0.001765,0.0,0.0,0.007886,0,HTTP/1.1,Streaming
0.001436,0.006106,0.0,0.0,0.007621,0,HTTP/3,Streaming
0.001343,0.001652,0.0,0.0,0.005949,0,HTTP/1.1,Navegação
0.001383,0.006869,0.0,0.0,0.008641,0,HTTP/3,Navegação
0.001227,0.00149,0.0,0.0,0.006344,0,HTTP/1.1,Streaming
0.001612,0.007449,0.0,0.0,0.009005,0,HTTP/3,Streaming
0.001263,0.001462,0.0,0.0,0.004758,0,HTTP/1.1,Navegação
0.001531,0.007813,0.0,0.0,0.009296,0,HTTP/3,Navegação
0.001562,0.001774,0.0,0.0,0.005466,0,HTTP/1.1,Streaming
0.001387,0.006616,0.0,0.0,0.00812,0,HTTP/3,Streaming
